Content ID,User ID_Reactions,Type_Reactions,Datetime,User ID_Content,Type_Content,Category,Type,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,2020-11-07 09:43:50,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,2021-01-06 19:13:01,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,2021-04-09 02:46:20,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,disgust,negative,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,8b49caad-bcc5-43de-bf40-34a66ff8805c,disgust,2021-03-28 21:15:26,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,disgust,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,ef147ea5-9696-44d5-b6c2-a43f62fd8ce2,disgust,2020-08-04 05:40:33,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,disgust,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,disgust,2021-01-14 07:21:32,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,disgust,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,10f311c3-f547-4260-8c0e-a155008b7936,disgust,2021-01-13 23:35:56,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,disgust,negative,0
3f8590c7-6ab2-4973-805a-90cdec355f05,054b5d2a-7ee3-49c8-912a-1cf58389ae60,disgust,2021-02-11 20:10:20,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,disgust,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,85503a94-e733-486e-989e-12ff9b59f2d3,disgust,2021-05-27 01:44:22,13f0db8a-152a-496f-a6e8-1ed6a90b8788,photo,public speaking,disgust,negative,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,1f81cb56-5258-4f9e-ab2c-4dfb581b44cb,disgust,2021-02-13 04:14:45,13f0db8a-152a-496f-a6e8-1ed6a90b8788,photo,public speaking,disgust,negative,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,4eed2f45-f040-4995-a60f-472af1ff379a,disgust,2020-11-07 08:49:52,ef56931b-540b-4166-9090-73ae48ac8d97,GIF,science,disgust,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,334e2fe8-6f2c-424c-8ed5-12c99f048722,disgust,2020-09-11 16:22:49,72d2587e-8fae-4626-a73d-352e6465ba0f,GIF,tennis,disgust,negative,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,948f7e9d-49bb-4770-bc9d-cb3fb65cca15,disgust,2020-10-13 16:31:34,72d2587e-8fae-4626-a73d-352e6465ba0f,GIF,tennis,disgust,negative,0
